,Boo TH,RieNs TH,MiniBoo TH,Wo0t TH,benjyfishy TH
aspas LEV,1 0 +1,1 0 +1,0 1 -1,1 0 +1,2 2 +0
tex LEV,1 0 +1,,1 2 -1,,1 0 +1
Mazino LEV,,1 1 +0,,2 0 +2,0 1 -1
C0M LEV,,1 0 +1,1 0 +1,,
kiNgg LEV,,1 0 +1,,1 1 +0,
