,Boo TH,RieNs TH,MiniBoo TH,Wo0t TH,benjyfishy TH
aspas LEV,1 1 +0,1 1 +0,0 1 -1,3 0 +3,2 2 +0
tex LEV,2 1 +1,1 0 +1,3 4 -1,1 0 +1,3 2 +1
Mazino LEV,,1 1 +0,1 0 +1,2 0 +2,1 1 +0
C0M LEV,0 1 -1,1 0 +1,1 2 -1,1 0 +1,1 2 -1
kiNgg LEV,0 1 -1,1 0 +1,1 0 +1,2 1 +1,
