,Boo TH,RieNs TH,MiniBoo TH,Wo0t TH,benjyfishy TH
aspas LEV,8 0 +8,4 2 +2,4 6 -2,7 0 +7,6 7 -1
tex LEV,1 2 -1,2 3 -1,5 5 +0,1 3 -2,2 1 +1
Mazino LEV,4 1 +3,5 4 +1,2 2 +0,4 1 +3,2 4 -2
C0M LEV,2 3 -1,3 5 -2,4 1 +3,2 4 -2,1 3 -2
kiNgg LEV,0 3 -3,2 1 +1,2 4 -2,5 2 +3,3 4 -1
