,Foxy9 GEN,Ash GEN,Munchkin GEN,t3xture GEN,Karon GEN
BeYN DRX,0 1 -1,,,2 0 +2,2 0 +2
free1ng DRX,,,2 0 +2,0 1 -1,1 0 +1
MaKo DRX,0 1 -1,1 0 +1,1 1 +0,0 1 -1,0 1 -1
HYUNMIN DRX,0 1 -1,1 0 +1,1 1 +0,1 0 +1,1 0 +1
Estrella DRX,,,,,
