,Foxy9 GEN,Ash GEN,Munchkin GEN,t3xture GEN,Karon GEN
BeYN DRX,6 2 +4,2 6 -4,3 3 +0,4 1 +3,3 3 +0
free1ng DRX,5 3 +2,1 2 -1,4 3 +1,3 3 +0,2 2 +0
MaKo DRX,1 6 -5,6 2 +4,3 2 +1,5 4 +1,3 1 +2
HYUNMIN DRX,3 3 +0,3 5 -2,8 1 +7,4 5 -1,6 2 +4
Estrella DRX,0 5 -5,4 3 +1,1 1 +0,2 1 +1,4 2 +2
