,Foxy9 GEN,Ash GEN,Munchkin GEN,t3xture GEN,Karon GEN
BeYN DRX,1 2 -1,4 1 +3,3 1 +2,5 5 +0,3 4 -1
free1ng DRX,3 3 +0,5 1 +4,4 0 +4,1 8 -7,4 2 +2
MaKo DRX,2 2 +0,2 3 -1,4 2 +2,3 1 +2,2 4 -2
HYUNMIN DRX,5 2 +3,2 2 +0,3 0 +3,6 4 +2,3 5 -2
Estrella DRX,2 4 -2,0 2 -2,1 4 -3,2 2 +0,3 2 +1
