,Foxy9 GEN,Ash GEN,Munchkin GEN,t3xture GEN,Karon GEN
BeYN DRX,,,,0 3 -3,
free1ng DRX,,,,0 3 -3,
MaKo DRX,,,,0 1 -1,
HYUNMIN DRX,1 0 +1,1 0 +1,,1 2 -1,
Estrella DRX,,,,0 1 -1,
