,Foxy9 GEN,Ash GEN,Munchkin GEN,t3xture GEN,Karon GEN
BeYN DRX,11 9 +2,8 9 -1,9 5 +4,14 12 +2,9 9 +0
free1ng DRX,11 11 +0,7 7 +0,10 6 +4,7 15 -8,9 6 +3
MaKo DRX,4 13 -9,13 6 +7,8 7 +1,8 10 -2,9 6 +3
HYUNMIN DRX,10 10 +0,7 10 -3,15 4 +11,16 14 +2,12 9 +3
Estrella DRX,4 12 -8,5 8 -3,4 7 -3,5 9 -4,8 6 +2
