,Foxy9 GEN,Ash GEN,Munchkin GEN,t3xture GEN,Karon GEN
BeYN DRX,4 5 -1,2 2 +0,3 1 +2,5 6 -1,3 2 +1
free1ng DRX,3 5 -2,1 4 -3,2 3 -1,3 4 -1,3 2 +1
MaKo DRX,1 5 -4,5 1 +4,1 3 -2,0 5 -5,4 1 +3
HYUNMIN DRX,2 5 -3,2 3 -1,4 3 +1,6 5 +1,3 2 +1
Estrella DRX,2 3 -1,1 3 -2,2 2 +0,1 6 -5,1 2 -1
