,Foxy9 GEN,Ash GEN,Munchkin GEN,t3xture GEN,Karon GEN
BeYN DRX,,0 1 -1,,,
free1ng DRX,1 0 +1,0 1 -1,1 0 +1,1 0 +1,
MaKo DRX,0 1 -1,2 0 +2,0 1 -1,3 1 +2,1 0 +1
HYUNMIN DRX,1 0 +1,1 1 +0,1 0 +1,1 1 +0,1 0 +1
Estrella DRX,,1 0 +1,,1 0 +1,
