,MrFaliN FUT,qRaxs FUT,yetujey FUT,xeus FUT,AtaKaptan FUT
Boaster FNC,3 3 +0,0 3 -3,2 1 +1,2 1 +1,2 3 -1
Chronicle FNC,5 0 +5,4 3 +1,1 2 -1,5 1 +4,4 4 +0
kaajak FNC,3 4 -1,3 3 +0,5 2 +3,2 4 -2,4 2 +2
crashies FNC,1 4 -3,4 2 +2,0 1 -1,4 2 +2,2 0 +2
Alfajer FNC,1 2 -1,5 3 +2,4 2 +2,5 5 +0,3 1 +2
