,MrFaliN FUT,qRaxs FUT,yetujey FUT,xeus FUT,AtaKaptan FUT
Boaster FNC,,,,,
Chronicle FNC,,0 1 -1,0 1 -1,1 0 +1,0 2 -2
kaajak FNC,0 1 -1,0 1 -1,2 0 +2,2 3 -1,1 0 +1
crashies FNC,,,,0 1 -1,
Alfajer FNC,,0 1 -1,,0 1 -1,1 0 +1
