,MrFaliN FUT,qRaxs FUT,yetujey FUT,xeus FUT,AtaKaptan FUT
Boaster FNC,,0 1 -1,0 1 -1,0 1 -1,
Chronicle FNC,1 0 +1,,,,
kaajak FNC,,1 1 +0,1 1 +0,1 0 +1,0 1 -1
crashies FNC,,0 1 -1,,1 0 +1,0 1 -1
Alfajer FNC,3 0 +3,1 1 +0,,2 0 +2,1 0 +1
