,MrFaliN FUT,qRaxs FUT,yetujey FUT,xeus FUT,AtaKaptan FUT
Boaster FNC,1 0 +1,2 3 -1,2 4 -2,1 4 -3,2 1 +1
Chronicle FNC,4 0 +4,1 1 +0,3 1 +2,4 7 -3,2 4 -2
kaajak FNC,3 0 +3,3 2 +1,3 5 -2,2 1 +1,2 3 -1
crashies FNC,2 1 +1,3 4 -1,3 1 +2,4 3 +1,4 2 +2
Alfajer FNC,7 2 +5,7 1 +6,4 2 +2,3 4 -1,5 1 +4
