,MrFaliN FUT,qRaxs FUT,yetujey FUT,xeus FUT,AtaKaptan FUT
Boaster FNC,4 3 +1,2 6 -4,4 5 -1,3 5 -2,4 4 +0
Chronicle FNC,9 0 +9,5 4 +1,4 3 +1,9 8 +1,6 8 -2
kaajak FNC,6 4 +2,6 5 +1,8 7 +1,4 5 -1,6 5 +1
crashies FNC,3 5 -2,7 6 +1,3 2 +1,8 5 +3,6 2 +4
Alfajer FNC,8 4 +4,12 4 +8,8 4 +4,8 9 -1,8 2 +6
