,kellyS TS,n1zzy TS,ZesBeeW TS,Wild0reoo TS,invy TS
UdoTan GE,,,,,
Papi GE,,,,,
ban GE,,,,,
Kr1stal GE,,0 1 -1,,,
yoman GE,0 1 -1,,,,
