,kellyS TS,n1zzy TS,ZesBeeW TS,Wild0reoo TS,invy TS
UdoTan GE,1 1 +0,0 6 -6,3 1 +2,2 5 -3,3 4 -1
Papi GE,5 4 +1,1 3 -2,2 1 +1,3 3 +0,2 4 -2
ban GE,3 4 -1,2 2 +0,1 1 +0,1 6 -5,5 1 +4
Kr1stal GE,2 2 +0,2 2 +0,2 5 -3,0 4 -4,1 3 -2
yoman GE,1 3 -2,0 3 -3,2 3 -1,2 5 -3,1 1 +0
