,kellyS TS,n1zzy TS,ZesBeeW TS,Wild0reoo TS,invy TS
UdoTan GE,0 1 -1,,1 0 +1,1 1 +0,0 1 -1
Papi GE,1 0 +1,,,1 0 +1,
ban GE,1 2 -1,0 1 -1,2 1 +1,0 1 -1,
Kr1stal GE,2 0 +2,,1 0 +1,,
yoman GE,,,4 0 +4,,
