,kellyS TS,n1zzy TS,ZesBeeW TS,Wild0reoo TS,invy TS
UdoTan GE,1 3 -2,4 7 -3,3 1 +2,4 6 -2,2 2 +0
Papi GE,1 3 -2,1 3 -2,1 2 -1,3 5 -2,6 1 +5
ban GE,2 4 -2,1 3 -2,2 5 -3,3 3 +0,5 1 +4
Kr1stal GE,7 0 +7,3 5 -2,4 3 +1,3 3 +0,4 3 +1
yoman GE,4 3 +1,6 3 +3,8 1 +7,3 2 +1,1 5 -4
