,kellyS TS,n1zzy TS,ZesBeeW TS,Wild0reoo TS,invy TS
UdoTan GE,1 1 +0,0 2 -2,1 0 +1,,0 1 -1
Papi GE,1 0 +1,,1 0 +1,,
ban GE,1 0 +1,,,0 2 -2,0 1 -1
Kr1stal GE,0 1 -1,0 2 -2,1 1 +0,,
yoman GE,0 1 -1,,,,
