,kellyS TS,n1zzy TS,ZesBeeW TS,Wild0reoo TS,invy TS
UdoTan GE,0 1 -1,1 0 +1,3 3 +0,4 0 +4,0 1 -1
Papi GE,1 0 +1,,0 1 -1,1 0 +1,
ban GE,1 1 +0,,1 0 +1,,
Kr1stal GE,,,,1 0 +1,
yoman GE,2 0 +2,,0 1 -1,1 0 +1,
