,trent G2,jawgemo G2,BABYBAY G2,valyn G2,JonahP G2
silentzz 2G,,1 0 +1,1 0 +1,0 1 -1,0 1 -1
spike 2G,1 2 -1,,2 0 +2,,0 1 -1
lz 2G,,1 2 -1,,,0 1 -1
gobera 2G,0 1 -1,,,,1 0 +1
pryze 2G,,,1 0 +1,1 0 +1,
