,trent G2,jawgemo G2,BABYBAY G2,valyn G2,JonahP G2
silentzz 2G,4 7 -3,7 3 +4,9 3 +6,5 12 -7,5 6 -1
spike 2G,5 13 -8,5 5 +0,5 6 -1,5 5 +0,4 6 -2
lz 2G,3 2 +1,5 11 -6,3 4 -1,3 5 -2,4 10 -6
gobera 2G,3 7 -4,5 5 +0,1 5 -4,2 8 -6,5 9 -4
pryze 2G,7 8 -1,3 6 -3,5 5 +0,5 4 +1,4 7 -3
