,trent G2,jawgemo G2,BABYBAY G2,valyn G2,JonahP G2
silentzz 2G,4 4 +0,3 0 +3,2 0 +2,2 9 -7,1 3 -2
spike 2G,3 5 -2,2 1 +1,4 3 +1,2 4 -2,2 3 -1
lz 2G,0 1 -1,3 4 -1,1 1 +0,1 3 -2,1 5 -4
gobera 2G,2 4 -2,3 1 +2,1 1 +0,1 4 -3,2 5 -3
pryze 2G,1 5 -4,2 2 +0,1 3 -2,3 3 +0,2 3 -1
