,trent G2,jawgemo G2,BABYBAY G2,valyn G2,JonahP G2
silentzz 2G,0 3 -3,4 3 +1,7 3 +4,3 3 +0,4 3 +1
spike 2G,2 8 -6,3 4 -1,1 3 -2,3 1 +2,2 3 -1
lz 2G,3 1 +2,2 7 -5,2 3 -1,2 2 +0,3 5 -2
gobera 2G,1 3 -2,2 4 -2,0 4 -4,1 4 -3,3 4 -1
pryze 2G,6 3 +3,1 4 -3,4 2 +2,2 1 +1,2 4 -2
