,Melser KRÜ,mta KRÜ,heat KRÜ,keznit KRÜ,Shyy KRÜ
nephh BLG,,0 1 -1,,,0 1 -1
Knight BLG,,0 1 -1,,,0 1 -1
Flex1n BLG,0 1 -1,,1 0 +1,1 0 +1,0 1 -1
whzy BLG,1 1 +0,0 1 -1,0 4 -4,0 1 -1,
yosemite BLG,1 0 +1,,,,
