,Melser KRÜ,mta KRÜ,heat KRÜ,keznit KRÜ,Shyy KRÜ
nephh BLG,1 2 -1,1 3 -2,2 3 -1,3 3 +0,4 6 -2
Knight BLG,3 2 +1,2 2 +0,2 5 -3,4 4 +0,3 4 -1
Flex1n BLG,6 6 +0,3 5 -2,4 3 +1,2 1 +1,1 4 -3
whzy BLG,4 1 +3,4 3 +1,2 5 -3,2 5 -3,4 6 -2
yosemite BLG,1 3 -2,1 1 +0,1 5 -4,1 4 -3,1 3 -2
