,Melser KRÜ,mta KRÜ,heat KRÜ,keznit KRÜ,Shyy KRÜ
nephh BLG,,0 1 -1,,0 1 -1,1 2 -1
Knight BLG,,,,,
Flex1n BLG,1 1 +0,1 1 +0,,,1 0 +1
whzy BLG,3 0 +3,2 0 +2,1 1 +0,0 2 -2,1 0 +1
yosemite BLG,0 1 -1,0 1 -1,,,
