,Melser KRÜ,mta KRÜ,heat KRÜ,keznit KRÜ,Shyy KRÜ
nephh BLG,4 4 +0,2 8 -6,2 3 -1,4 8 -4,4 10 -6
Knight BLG,3 3 +0,2 5 -3,3 10 -7,6 7 -1,4 6 -2
Flex1n BLG,10 7 +3,5 8 -3,7 3 +4,5 3 +2,5 9 -4
whzy BLG,8 3 +5,6 7 -1,4 12 -8,3 7 -4,6 8 -2
yosemite BLG,2 3 -1,5 4 +1,2 11 -9,3 7 -4,5 7 -2
