,Melser KRÜ,mta KRÜ,heat KRÜ,keznit KRÜ,Shyy KRÜ
nephh BLG,,0 2 -2,,0 1 -1,1 3 -2
Knight BLG,,0 1 -1,,,0 1 -1
Flex1n BLG,1 2 -1,1 1 +0,1 0 +1,1 0 +1,1 1 +0
whzy BLG,4 1 +3,2 1 +1,1 5 -4,0 3 -3,1 0 +1
yosemite BLG,1 1 +0,0 1 -1,,,
