,Melser KRÜ,mta KRÜ,heat KRÜ,keznit KRÜ,Shyy KRÜ
nephh BLG,3 2 +1,1 5 -4,,1 5 -4,0 4 -4
Knight BLG,0 1 -1,0 3 -3,1 5 -4,2 3 -1,1 2 -1
Flex1n BLG,4 1 +3,2 3 -1,3 0 +3,3 2 +1,4 5 -1
whzy BLG,4 2 +2,2 4 -2,2 7 -5,1 2 -1,2 2 +0
yosemite BLG,1 0 +1,4 3 +1,1 6 -5,2 3 -1,4 4 +0
