Player,Team,Map,Side,Agents,R2.0,ACS,K,D,A,K/D,KAST,ADR,HS%,FK,FD,FK/FD
AAAAY,FPX,Map_2_2Icebox,All,Kayo,,242,23,16,11,+7,,165,45%,0,0,0
Autumn,FPX,Map_2_2Icebox,All,Clove,,235,21,20,4,+1,,160,43%,6,2,+4
Life,FPX,Map_2_2Icebox,All,Jett,,209,19,23,4,-4,,137,34%,6,0,+6
BerLIN,FPX,Map_2_2Icebox,All,Viper,,197,17,19,7,-2,,137,39%,1,5,-4
Lysoar,FPX,Map_2_2Icebox,All,Killjoy,,145,12,18,5,-6,,93,23%,3,3,0
Flex1n,BLG,Map_2_2Icebox,All,Viper,,251,23,18,7,+5,,166,24%,1,4,-3
whzy,BLG,Map_2_2Icebox,All,Jett,,226,21,18,4,+3,,133,22%,5,6,-1
nephh,BLG,Map_2_2Icebox,All,Kayo,,208,19,20,19,-1,,123,27%,2,1,+1
yosemite,BLG,Map_2_2Icebox,All,Killjoy,,198,18,19,5,-1,,134,28%,1,4,-3
Knight,BLG,Map_2_2Icebox,All,Sage,,149,14,17,10,-3,,88,19%,1,1,0
AAAAY,FPX,Map_2_2Icebox,Attack,Kayo,,,,,,,
Autumn,FPX,Map_2_2Icebox,Attack,Clove,,,,,,,
Life,FPX,Map_2_2Icebox,Attack,Jett,,,,,,,
BerLIN,FPX,Map_2_2Icebox,Attack,Viper,,,,,,,
Lysoar,FPX,Map_2_2Icebox,Attack,Killjoy,,,,,,,
Flex1n,BLG,Map_2_2Icebox,Attack,Viper,,,,,,,
whzy,BLG,Map_2_2Icebox,Attack,Jett,,,,,,,
nephh,BLG,Map_2_2Icebox,Attack,Kayo,,,,,,,
yosemite,BLG,Map_2_2Icebox,Attack,Killjoy,,,,,,,
Knight,BLG,Map_2_2Icebox,Attack,Sage,,,,,,,
AAAAY,FPX,Map_2_2Icebox,Defend,Kayo,,,,,,,
Autumn,FPX,Map_2_2Icebox,Defend,Clove,,,,,,,
Life,FPX,Map_2_2Icebox,Defend,Jett,,,,,,,
BerLIN,FPX,Map_2_2Icebox,Defend,Viper,,,,,,,
Lysoar,FPX,Map_2_2Icebox,Defend,Killjoy,,,,,,,
Flex1n,BLG,Map_2_2Icebox,Defend,Viper,,,,,,,
whzy,BLG,Map_2_2Icebox,Defend,Jett,,,,,,,
nephh,BLG,Map_2_2Icebox,Defend,Kayo,,,,,,,
yosemite,BLG,Map_2_2Icebox,Defend,Killjoy,,,,,,,
Knight,BLG,Map_2_2Icebox,Defend,Sage,,,,,,,
