,Boostio 100T,zander 100T,Asuna 100T,Cryocells 100T,eeiu 100T
zekken SEN,4 1 +3,1 1 +0,3 3 +0,3 2 +1,1 2 -1
bang SEN,1 2 -1,2 1 +1,5 1 +4,3 1 +2,2 0 +2
Zellsis SEN,2 1 +1,4 0 +4,2 2 +0,3 0 +3,4 1 +3
johnqt SEN,4 1 +3,3 1 +2,3 0 +3,1 2 -1,3 2 +1
N4RRATE SEN,2 2 +0,3 2 +1,2 0 +2,3 2 +1,2 2 +0
