,Boostio 100T,zander 100T,Asuna 100T,Cryocells 100T,eeiu 100T
zekken SEN,13 4 +9,7 8 -1,8 10 -2,7 7 +0,5 10 -5
bang SEN,6 6 +0,8 6 +2,11 7 +4,8 4 +4,9 7 +2
Zellsis SEN,7 3 +4,14 4 +10,7 8 -1,8 9 -1,9 6 +3
johnqt SEN,7 5 +2,9 5 +4,9 5 +4,6 11 -5,7 7 +0
N4RRATE SEN,7 8 -1,4 5 -1,9 9 +0,8 8 +0,7 8 -1
