,Boostio 100T,zander 100T,Asuna 100T,Cryocells 100T,eeiu 100T
zekken SEN,4 1 +3,2 5 -3,2 2 +0,3 1 +2,2 3 -1
bang SEN,2 1 +1,1 5 -4,4 3 +1,1 0 +1,3 3 +0
Zellsis SEN,3 1 +2,7 2 +5,1 2 -1,4 3 +1,3 2 +1
johnqt SEN,3 2 +1,5 1 +4,4 2 +2,1 2 -1,3 2 +1
N4RRATE SEN,2 3 -1,1 0 +1,4 4 +0,4 2 +2,3 3 +0
