,Boostio 100T,zander 100T,Asuna 100T,Cryocells 100T,eeiu 100T
zekken SEN,3 2 +1,1 1 +0,4 8 -4,1 2 -1,0 1 -1
bang SEN,1 0 +1,,4 3 +1,,
Zellsis SEN,1 0 +1,0 1 -1,2 4 -2,0 1 -1,1 0 +1
johnqt SEN,0 1 -1,,3 0 +3,1 2 -1,
N4RRATE SEN,0 1 -1,0 1 -1,1 2 -1,1 0 +1,
