,Boostio 100T,zander 100T,Asuna 100T,Cryocells 100T,eeiu 100T
zekken SEN,5 2 +3,4 2 +2,3 5 -2,1 4 -3,2 5 -3
bang SEN,3 3 +0,5 0 +5,2 3 -1,4 3 +1,4 4 +0
Zellsis SEN,2 1 +1,3 2 +1,4 4 +0,1 6 -5,2 3 -1
johnqt SEN,0 2 -2,1 3 -2,2 3 -1,4 7 -3,1 3 -2
N4RRATE SEN,3 3 +0,0 3 -3,3 5 -2,1 4 -3,2 3 -1
