,d4v41 PRX,f0rsakeN PRX,PatMen PRX,Jinggg PRX,something PRX
Meiy DFM,,,0 1 -1,1 0 +1,0 2 -2
gyen DFM,1 0 +1,,,1 0 +1,0 1 -1
Akame DFM,,,0 1 -1,1 0 +1,1 3 -2
Jinboong DFM,,,,,
Art DFM,,,,,0 2 -2
