,d4v41 PRX,f0rsakeN PRX,PatMen PRX,Jinggg PRX,something PRX
Meiy DFM,1 1 +0,1 0 +1,1 0 +1,1 1 +0,
gyen DFM,,1 0 +1,1 2 -1,,
Akame DFM,,3 0 +3,,,2 0 +2
Jinboong DFM,0 1 -1,1 0 +1,,,0 2 -2
Art DFM,,0 2 -2,,,1 2 -1
