,d4v41 PRX,f0rsakeN PRX,PatMen PRX,Jinggg PRX,something PRX
Meiy DFM,2 1 +1,1 0 +1,2 0 +2,2 3 -1,1 3 -2
gyen DFM,,4 0 +4,1 2 -1,2 0 +2,0 2 -2
Akame DFM,1 2 -1,4 0 +4,0 3 -3,1 2 -1,6 3 +3
Jinboong DFM,1 1 +0,2 0 +2,0 5 -5,1 2 -1,0 2 -2
Art DFM,1 1 +0,0 2 -2,0 1 -1,0 2 -2,1 2 -1
