,d4v41 PRX,f0rsakeN PRX,PatMen PRX,Jinggg PRX,something PRX
Meiy DFM,5 2 +3,2 1 +1,3 3 +0,2 6 -4,2 5 -3
gyen DFM,1 2 -1,5 4 +1,5 3 +2,4 2 +2,2 5 -3
Akame DFM,1 4 -3,3 3 +0,1 5 -4,3 3 +0,3 2 +1
Jinboong DFM,1 2 -1,1 4 -3,3 7 -4,3 1 +2,1 5 -4
Art DFM,3 2 +1,2 3 -1,1 5 -4,0 3 -3,2 3 -1
