,d4v41 PRX,f0rsakeN PRX,PatMen PRX,Jinggg PRX,something PRX
Meiy DFM,10 14 -4,8 7 +1,14 5 +9,8 14 -6,9 14 -5
gyen DFM,7 5 +2,16 15 +1,17 9 +8,9 14 -5,6 12 -6
Akame DFM,13 9 +4,13 9 +4,7 14 -7,16 13 +3,18 9 +9
Jinboong DFM,7 8 -1,11 9 +2,7 10 -3,9 12 -3,5 12 -7
Art DFM,9 11 -2,5 5 +0,3 12 -9,3 16 -13,6 12 -6
