,d4v41 PRX,f0rsakeN PRX,PatMen PRX,Jinggg PRX,something PRX
Meiy DFM,2 10 -8,2 2 +0,6 1 +5,2 5 -3,5 3 +2
gyen DFM,1 1 +0,8 5 +3,4 2 +2,2 5 -3,2 6 -4
Akame DFM,8 3 +5,5 4 +1,4 3 +1,9 4 +5,6 5 +1
Jinboong DFM,4 4 +0,4 3 +1,2 1 +1,3 7 -4,3 3 +0
Art DFM,3 4 -1,2 0 +2,1 3 -2,1 10 -9,2 6 -4
