,d4v41 PRX,f0rsakeN PRX,PatMen PRX,Jinggg PRX,something PRX
Meiy DFM,1 0 +1,,1 0 +1,1 0 +1,
gyen DFM,,,,1 0 +1,0 1 -1
Akame DFM,0 1 -1,,0 3 -3,1 0 +1,0 1 -1
Jinboong DFM,,,0 5 -5,0 1 -1,
Art DFM,1 1 +0,,,0 1 -1,
