,iZu T1,carpe T1,Meteor T1,stax T1,BuZz T1
Flashback DRX,1 1 +0,3 2 +1,2 2 +0,4 4 +0,2 2 +0
HYUNMIN DRX,4 2 +2,3 1 +2,2 1 +1,0 1 -1,1 6 -5
BeYN DRX,2 1 +1,2 2 +0,4 1 +3,4 0 +4,5 3 +2
MaKo DRX,4 0 +4,3 3 +0,2 0 +2,2 0 +2,2 2 +0
free1ng DRX,5 0 +5,2 0 +2,4 2 +2,4 2 +2,6 1 +5
