,iZu T1,carpe T1,Meteor T1,stax T1,BuZz T1
Flashback DRX,,,1 1 +0,0 1 -1,1 1 +0
HYUNMIN DRX,1 0 +1,3 0 +3,2 1 +1,2 1 +1,1 1 +0
BeYN DRX,,,,,0 3 -3
MaKo DRX,,,1 0 +1,,
free1ng DRX,1 0 +1,,0 1 -1,,0 1 -1
