,iZu T1,carpe T1,Meteor T1,stax T1,BuZz T1
Flashback DRX,1 0 +1,,1 0 +1,,
HYUNMIN DRX,,,,,0 1 -1
BeYN DRX,,,,,
MaKo DRX,,,,,0 2 -2
free1ng DRX,,,,,0 2 -2
