,iZu T1,carpe T1,Meteor T1,stax T1,BuZz T1
Flashback DRX,1 0 +1,,1 1 +0,,0 1 -1
HYUNMIN DRX,3 0 +3,2 0 +2,,,0 2 -2
BeYN DRX,,,0 2 -2,,0 2 -2
MaKo DRX,,,,,0 3 -3
free1ng DRX,,,,,0 4 -4
