,iZu T1,carpe T1,Meteor T1,stax T1,BuZz T1
Flashback DRX,,,1 0 +1,1 0 +1,0 1 -1
HYUNMIN DRX,1 1 +0,1 0 +1,,1 0 +1,1 2 -1
BeYN DRX,1 0 +1,,,,
MaKo DRX,,0 1 -1,,0 1 -1,1 1 +0
free1ng DRX,,,,0 2 -2,2 0 +2
