,iZu T1,carpe T1,Meteor T1,stax T1,BuZz T1
Flashback DRX,1 0 +1,,1 0 +1,,1 1 +0
HYUNMIN DRX,2 0 +2,,1 0 +1,,1 2 -1
BeYN DRX,,,2 0 +2,1 0 +1,
MaKo DRX,0 1 -1,,1 2 -1,,1 2 -1
free1ng DRX,,,,,1 1 +0
