,iZu T1,carpe T1,Meteor T1,stax T1,BuZz T1
Flashback DRX,5 3 +2,2 3 -1,4 3 +1,2 3 -1,5 3 +2
HYUNMIN DRX,4 4 +0,8 1 +7,4 3 +1,6 7 -1,7 3 +4
BeYN DRX,1 1 +0,2 1 +1,0 2 -2,2 2 +0,2 6 -4
MaKo DRX,3 2 +1,3 1 +2,6 3 +3,4 3 +1,2 2 +0
free1ng DRX,2 5 -3,0 2 -2,4 2 +2,3 3 +0,2 6 -4
