,iZu T1,carpe T1,Meteor T1,stax T1,BuZz T1
Flashback DRX,1 0 +1,,4 1 +3,1 2 -1,3 5 -2
HYUNMIN DRX,7 3 +4,5 1 +4,4 1 +3,3 2 +1,4 8 -4
BeYN DRX,1 0 +1,1 0 +1,3 0 +3,1 0 +1,2 5 -3
MaKo DRX,0 1 -1,0 1 -1,3 3 +0,1 2 -1,4 4 +0
free1ng DRX,1 0 +1,1 2 -1,2 4 -2,1 2 -1,4 3 +1
