,iZu T1,carpe T1,Meteor T1,stax T1,BuZz T1
Flashback DRX,,,1 0 +1,0 1 -1,1 0 +1
HYUNMIN DRX,1 1 +0,,,,0 2 -2
BeYN DRX,,1 0 +1,1 0 +1,,2 0 +2
MaKo DRX,,,1 0 +1,,0 1 -1
free1ng DRX,,1 0 +1,1 1 +0,,
