,iZu T1,carpe T1,Meteor T1,stax T1,BuZz T1
Flashback DRX,18 14 +4,18 15 +3,17 13 +4,11 15 -4,14 16 -2
HYUNMIN DRX,22 13 +9,21 8 +13,15 12 +3,16 21 -5,18 28 -10
BeYN DRX,8 5 +3,11 14 -3,10 12 -2,15 7 +8,11 23 -12
MaKo DRX,10 11 -1,13 14 -1,14 16 -2,19 11 +8,14 16 -2
free1ng DRX,15 10 +5,8 14 -6,22 13 +9,15 11 +4,21 18 +3
