,iZu T1,carpe T1,Meteor T1,stax T1,BuZz T1
Flashback DRX,5 5 +0,7 4 +3,5 2 +3,2 3 -1,3 3 +0
HYUNMIN DRX,6 4 +2,8 2 +6,2 2 +0,4 5 -1,4 6 -2
BeYN DRX,3 2 +1,2 4 -2,2 2 +0,3 2 +1,1 9 -8
MaKo DRX,1 4 -3,2 2 +0,3 6 -3,7 3 +4,4 5 -1
free1ng DRX,3 0 +3,1 7 -6,7 4 +3,3 0 +3,3 5 -2
