,iZu T1,carpe T1,Meteor T1,stax T1,BuZz T1
Flashback DRX,,,,,0 2 -2
HYUNMIN DRX,2 1 +1,1 1 +0,1 0 +1,0 1 -1,1 1 +0
BeYN DRX,,,,,0 2 -2
MaKo DRX,,,0 1 -1,1 1 +0,2 0 +2
free1ng DRX,,0 2 -2,1 2 -1,1 0 +1,1 1 +0
