,tex LEV,Mazino LEV,kiNgg LEV,aspas LEV,C0M LEV
JonahP G2,3 6 -3,4 6 -2,1 3 -2,4 7 -3,3 2 +1
leaf G2,3 2 +1,2 9 -7,6 1 +5,1 4 -3,4 5 -1
trent G2,2 3 -1,1 6 -5,1 3 -2,4 6 -2,4 4 +0
icy G2,5 5 +0,2 7 -5,2 3 -1,5 5 +0,2 2 +0
valyn G2,5 3 +2,6 6 +0,6 3 +3,4 5 -1,2 2 +0
