,tex LEV,Mazino LEV,kiNgg LEV,aspas LEV,C0M LEV
JonahP G2,,0 1 -1,,0 1 -1,1 0 +1
leaf G2,1 0 +1,0 1 -1,0 1 -1,0 1 -1,
trent G2,1 0 +1,,,0 2 -2,
icy G2,,,0 1 -1,0 1 -1,
valyn G2,,4 0 +4,,1 0 +1,
