,tex LEV,Mazino LEV,kiNgg LEV,aspas LEV,C0M LEV
JonahP G2,1 4 -3,3 3 +0,0 2 -2,0 6 -6,2 1 +1
leaf G2,1 1 +0,0 5 -5,1 2 -1,2 6 -4,1 1 +0
trent G2,1 4 -3,0 3 -3,2 3 -1,0 3 -3,1 3 -2
icy G2,1 1 +0,1 2 -1,2 4 -2,0 4 -4,1 3 -2
valyn G2,1 3 -2,6 2 +4,0 4 -4,5 3 +2,3 3 +0
