,tex LEV,Mazino LEV,kiNgg LEV,aspas LEV,C0M LEV
JonahP G2,,,,,
leaf G2,1 1 +0,,1 0 +1,2 1 +1,0 1 -1
trent G2,,,0 1 -1,,
icy G2,0 2 -2,1 1 +0,1 0 +1,1 3 -2,0 2 -2
valyn G2,1 0 +1,0 1 -1,0 2 -2,4 2 +2,0 1 -1
