,tex LEV,Mazino LEV,kiNgg LEV,aspas LEV,C0M LEV
JonahP G2,,0 3 -3,0 1 -1,1 3 -2,1 0 +1
leaf G2,2 1 +1,1 2 -1,2 2 +0,3 3 +0,3 2 +1
trent G2,2 0 +2,,0 3 -3,1 2 -1,1 1 +0
icy G2,3 3 +0,2 3 -1,4 1 +3,5 8 -3,0 3 -3
valyn G2,1 1 +0,4 4 +0,1 3 -2,7 3 +4,0 1 -1
