,tex LEV,Mazino LEV,kiNgg LEV,aspas LEV,C0M LEV
JonahP G2,4 4 +0,2 5 -3,7 2 +5,5 4 +1,5 6 -1
leaf G2,4 5 -1,7 7 +0,3 3 +0,5 3 +2,5 6 -1
trent G2,5 7 -2,5 4 +1,4 4 +0,3 2 +1,3 3 +0
icy G2,1 5 -4,6 3 +3,5 4 +1,4 6 -2,2 6 -4
valyn G2,4 2 +2,2 4 -2,0 6 -6,7 5 +2,2 7 -5
