,tex LEV,Mazino LEV,kiNgg LEV,aspas LEV,C0M LEV
JonahP G2,,0 1 -1,0 1 -1,1 1 +0,
leaf G2,,1 0 +1,,1 0 +1,1 1 +0
trent G2,1 0 +1,,,,1 0 +1
icy G2,1 0 +1,0 1 -1,1 0 +1,3 1 +2,
valyn G2,,0 2 -2,1 0 +1,1 1 +0,
