,tex LEV,Mazino LEV,kiNgg LEV,aspas LEV,C0M LEV
JonahP G2,13 14 -1,16 16 +0,9 10 -1,13 21 -8,11 13 -2
leaf G2,12 10 +2,14 25 -11,17 10 +7,14 14 +0,13 15 -2
trent G2,11 19 -8,7 16 -9,9 14 -5,7 12 -5,11 13 -2
icy G2,12 12 +0,12 15 -3,14 15 -1,14 19 -5,8 14 -6
valyn G2,10 14 -4,15 18 -3,10 16 -6,17 15 +2,13 14 -1
